nome,url,porcao,calorias,carboidratos,proteinas,gorduras,gorduras_saturadas,fibras,acucares,sodio,data_coleta,categoria,codigo
Açúcar Refinado UNIÃO Pacote 1kg,https://www.paodeacucar.com/produto/74215/acucar-refinado-uniao-pacote-1kg,5.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-16 08:45:52,Não especificada,7891910000197
Beterraba 300g (Aprox. 2 Unid),https://www.paodeacucar.com/produto/78907/beterraba-300g-(aprox--2-unid),50.0,21.0,4.7,0.8,0.0,0.0,0.0,0.0,125.0,2025-10-16 08:46:09,Não especificada,336994
Bisnaguinha Original PANCO Pacote 300g,https://www.paodeacucar.com/produto/146389/bisnaguinha-original-panco-pacote-300g,50.0,154.0,29.0,4.2,2.3,0.9,1.1,0.0,188.0,2025-10-16 08:46:28,Não especificada,7891203010605
Laranja Pêra Granel 600g (Aprox. 3 a 5 Unid),https://www.paodeacucar.com/produto/101504/laranja-pera-granel-600g-(aprox--3-a-5-unid),50.0,57.0,12.0,0.7,0.0,0.0,1.1,0.0,0.0,2025-10-16 08:46:47,Não especificada,247399
Sobrecoxa de Frango Congelada Sadia 1kg,https://www.paodeacucar.com/produto/67565/sobrecoxa-de-frango-congelada-sadia-1kg,65.0,126.0,0.0,11.0,9.1,2.3,0.0,0.0,53.0,2025-10-16 08:47:41,Não especificada,7893000005976
Iogurte Natural Integral DANONE 160g,https://www.paodeacucar.com/produto/478707/iogurte-natural-integral-danone-160g,160.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-16 08:48:00,Não especificada,7891025120230
Macarrão com Ovos Espaguete 8 Barilla Pacote 500g,https://www.paodeacucar.com/produto/279928/macarrao-com-ovos-espaguete-8-barilla-pacote-500g,80.0,278.0,58.0,9.1,1.2,0.0,2.1,0.0,13.0,2025-10-16 08:48:35,Não especificada,7898951850064
Alcatra em Bife Bandeja 500g,https://www.paodeacucar.com/produto/168970/alcatra-em-bife-bandeja-500g,100.0,150.0,0.0,21.0,6.0,2.0,0.0,0.0,130.0,2025-10-16 08:48:52,Não especificada,77231
Pão de Forma Tradicional Pullman 480g,https://www.paodeacucar.com/produto/1944/pao-de-forma-tradicional-pullman-480g,50.0,122.0,24.0,3.8,1.3,0.3,1.3,1.6,192.0,2025-10-16 08:49:10,Não especificada,7896002360326
Bebida Láctea UHT Chocolate Zero Lactose Yopro 15g High Protein Caixa 250ml,https://www.paodeacucar.com/produto/447003/bebida-lactea-uht-chocolate-zero-lactose-yopro-15g-high-protein-caixa-250ml,0.0,172.0,21.0,15.0,2.8,1.4,1.6,18.0,275.0,2025-10-16 08:49:28,Não especificada,7891025115656
Queijo Prato TIROLEZ Fatiado Bandeja 150g,https://www.paodeacucar.com/produto/108264/queijo-prato-tirolez-fatiado-bandeja-150g,30.0,104.0,0.0,8.0,8.0,5.0,0.0,0.0,190.0,2025-10-16 08:49:46,Não especificada,15059
Queijo Minas Fresco Quatá 450g,https://www.paodeacucar.com/produto/13498/queijo-minas-fresco-quata-450g,30.0,80.0,2.0,5.0,5.0,4.0,0.0,0.0,69.0,2025-10-16 08:50:04,Não especificada,99295
