nome,url,porcao,calorias,carboidratos,proteinas,gorduras,gorduras_saturadas,fibras,acucares,sodio,data_coleta,categoria,codigo
9.4,125.0,9.4,0.0,6.8,4.0,Xandô A2 Leite de Fácil Digestão Puro Tipo A Integral Selo Kosher 1 Litro,0.0,6.6,120.0,https://www.paodeacucar.com/produto/1286772/xando-a2-leite-de-facil-digestao-puro-tipo-a-integral-selo-kosher-1-litro,https://www.paodeacucar.com/produto/1286772/xando-a2-leite-de-facil-digestao-puro-tipo-a-integral-selo-kosher-1-litro,xando a2 leite de facil digestao puro tipo a integral selo kosher 1 litro,
12.0,80.0,20.0,2.5,0.1,0.0,Suco Morango e Maçã Turma da Mônica Life Mix Caixa 200ml,0.0,0.0,10.0,https://www.paodeacucar.com/produto/355376/suco-morango-e-maca-turma-da-monica-life-mix-caixa-200ml,https://www.paodeacucar.com/produto/355376/suco-morango-e-maca-turma-da-monica-life-mix-caixa-200ml,suco morango e maca turma da monica life mix caixa 200ml,
18.0,120.0,30.0,2.5,0.1,0.0,Suco Uva Turma da Mônica Life Mix Caixa 200ml,0.0,0.0,10.0,https://www.paodeacucar.com/produto/355375/suco-uva-turma-da-monica-life-mix-caixa-200ml,https://www.paodeacucar.com/produto/355375/suco-uva-turma-da-monica-life-mix-caixa-200ml,suco uva turma da monica life mix caixa 200ml,
24.0,102.0,25.0,0.0,0.0,0.0,"Suco Integral Uva Tinto Qualitá Garrafa 1,35l",0.0,0.6,0.0,"https://www.paodeacucar.com/produto/1635263/suco-integral-uva-tinto-qualita-garrafa-1,35l","https://www.paodeacucar.com/produto/1635263/suco-integral-uva-tinto-qualita-garrafa-1,35l","suco integral uva tinto qualita garrafa 1,35l",
12.0,53.0,13.0,0.0,0.0,0.0,"Suco Integral Uva Tinto Qualitá Garrafa 1,5l",0.0,0.3,0.0,"https://www.paodeacucar.com/produto/1629301/suco-integral-uva-tinto-qualita-garrafa-1,5l","https://www.paodeacucar.com/produto/1629301/suco-integral-uva-tinto-qualita-garrafa-1,5l","suco integral uva tinto qualita garrafa 1,5l",
18.0,72.0,18.0,0.0,0.0,0.0,"Água Tônica Schweppes Garrafa 1,5l",0.0,0.0,13.0,"https://www.paodeacucar.com/produto/163565/agua-tonica-schweppes-garrafa-1,5l","https://www.paodeacucar.com/produto/163565/agua-tonica-schweppes-garrafa-1,5l","agua tonica schweppes garrafa 1,5l",
0.0,6.0,1.5,0.0,0.0,0.0,Bebida Cranberry Zero Açúcar Yaí Caixa 1l,0.0,0.0,0.0,https://www.paodeacucar.com/produto/1209605/bebida-cranberry-zero-acucar-yai-caixa-1l,https://www.paodeacucar.com/produto/1209605/bebida-cranberry-zero-acucar-yai-caixa-1l,bebida cranberry zero acucar yai caixa 1l,
16.0,86.0,20.0,0.0,0.0,0.0,"Suco Laranja Natural One Ambiente Garrafa 1,3l",0.0,1.4,0.0,"https://www.paodeacucar.com/produto/1639458/suco-laranja-natural-one-ambiente-garrafa-1,3l","https://www.paodeacucar.com/produto/1639458/suco-laranja-natural-one-ambiente-garrafa-1,3l","suco laranja natural one ambiente garrafa 1,3l",
17.0,107.0,20.0,1.3,2.0,0.0,Suco Integral Tangerina com Capim-Cidreira Villa Piva Garrafa 1l,0.0,1.3,10.0,https://www.paodeacucar.com/produto/461590/suco-integral-tangerina-com-capim-cidreira-villa-piva-garrafa-1l,https://www.paodeacucar.com/produto/461590/suco-integral-tangerina-com-capim-cidreira-villa-piva-garrafa-1l,suco integral tangerina com capim cidreira villa piva garrafa 1l,
12.0,80.0,20.0,2.5,0.1,0.0,Suco Laranja Turma da Mônica Life Mix Caixa 200ml,0.0,0.0,10.0,https://www.paodeacucar.com/produto/355374/suco-laranja-turma-da-monica-life-mix-caixa-200ml,https://www.paodeacucar.com/produto/355374/suco-laranja-turma-da-monica-life-mix-caixa-200ml,suco laranja turma da monica life mix caixa 200ml,
22.0,102.0,25.0,0.0,0.0,0.0,Suco Uva Do Bem 200ml,0.0,0.0,0.0,https://www.paodeacucar.com/produto/1639392/suco-uva-do-bem-200ml,https://www.paodeacucar.com/produto/1639392/suco-uva-do-bem-200ml,suco uva do bem 200ml,
0.0,72.0,18.0,0.0,0.0,0.0,Suco Uva Taeq Caixa 200ml,0.0,0.0,0.0,https://www.paodeacucar.com/produto/425600/suco-uva-taeq-caixa-200ml,https://www.paodeacucar.com/produto/425600/suco-uva-taeq-caixa-200ml,suco uva taeq caixa 200ml,
24.0,100.0,25.0,0.0,0.0,0.0,"Suco Pera e Uva Qualitá Garrafa 1,35l",0.0,0.0,0.0,"https://www.paodeacucar.com/produto/1635264/suco-pera-e-uva-qualita-garrafa-1,35l","https://www.paodeacucar.com/produto/1635264/suco-pera-e-uva-qualita-garrafa-1,35l","suco pera e uva qualita garrafa 1,35l",
0.0,88.0,21.0,0.0,0.0,0.0,Suco Integral Laranja Taeq Caixa 200ml,0.0,0.0,0.0,https://www.paodeacucar.com/produto/425601/suco-integral-laranja-taeq-caixa-200ml,https://www.paodeacucar.com/produto/425601/suco-integral-laranja-taeq-caixa-200ml,suco integral laranja taeq caixa 200ml,
6.0,40.0,10.0,3.8,0.0,0.0,Bebida Uva com Cranberry Life Mix Caixa 200ml,0.0,0.14,19.0,https://www.paodeacucar.com/produto/346266/bebida-uva-com-cranberry-life-mix-caixa-200ml,https://www.paodeacucar.com/produto/346266/bebida-uva-com-cranberry-life-mix-caixa-200ml,bebida uva com cranberry life mix caixa 200ml,
12.0,80.0,20.0,2.5,0.1,0.0,Suco Maçã Turma da Mônica Life Mix Caixa 200ml,0.0,0.0,10.0,https://www.paodeacucar.com/produto/361021/suco-maca-turma-da-monica-life-mix-caixa-200ml,https://www.paodeacucar.com/produto/361021/suco-maca-turma-da-monica-life-mix-caixa-200ml,suco maca turma da monica life mix caixa 200ml,
0.0,106.0,27.0,0.0,0.0,0.0,Refrigerante Coca-Cola Garrafa 250ml,0.0,0.0,13.0,https://www.paodeacucar.com/produto/440565/refrigerante-coca-cola-garrafa-250ml,https://www.paodeacucar.com/produto/440565/refrigerante-coca-cola-garrafa-250ml,refrigerante coca cola garrafa 250ml,
15.0,59.0,15.0,0.0,0.0,0.0,Chá Yaí Ice Limão 450ml,0.0,0.0,23.0,https://www.paodeacucar.com/produto/1627264/cha-yai-ice-limao-450ml,https://www.paodeacucar.com/produto/1627264/cha-yai-ice-limao-450ml,cha yai ice limao 450ml,
6.8,40.0,10.0,3.8,0.0,0.0,Bebida Manga Life Mix Caixa 200ml,0.0,0.3,21.0,https://www.paodeacucar.com/produto/409407/bebida-manga-life-mix-caixa-200ml,https://www.paodeacucar.com/produto/409407/bebida-manga-life-mix-caixa-200ml,bebida manga life mix caixa 200ml,
8.0,36.0,10.0,0.0,0.0,0.0,Bebida Verde Juxx Funcionais Caixa 1l,0.0,0.0,6.6,https://www.paodeacucar.com/produto/1433087/bebida-verde-juxx-funcionais-caixa-1l,https://www.paodeacucar.com/produto/1433087/bebida-verde-juxx-funcionais-caixa-1l,bebida verde juxx funcionais caixa 1l,
0.0,94.0,23.0,0.0,0.0,0.0,"Refrigerante PEPSI  Garrafa 1,5L",0.0,0.0,23.0,"https://www.paodeacucar.com/produto/126084/refrigerante-pepsi--garrafa-1,5l","https://www.paodeacucar.com/produto/126084/refrigerante-pepsi--garrafa-1,5l","refrigerante pepsi  garrafa 1,5l",
27.0,113.0,27.0,0.0,0.0,0.0,Refrigerante Citrus Original Schweppes Garrafa 250ml,0.0,0.0,22.0,https://www.paodeacucar.com/produto/440567/refrigerante-citrus-original-schweppes-garrafa-250ml,https://www.paodeacucar.com/produto/440567/refrigerante-citrus-original-schweppes-garrafa-250ml,refrigerante citrus original schweppes garrafa 250ml,
32.0,128.0,32.0,0.0,0.0,0.0,Refrigerante St.Pierre Red Mint 270ml,0.0,0.0,27.0,https://www.paodeacucar.com/produto/1378110/refrigerante-st-pierre-red-mint-270ml,https://www.paodeacucar.com/produto/1378110/refrigerante-st-pierre-red-mint-270ml,refrigerante st pierre red mint 270ml,
21.0,81.0,21.0,0.0,0.0,0.0,"Refrigerante Guaraná Fanta Garrafa 1,5l",0.0,0.0,16.0,"https://www.paodeacucar.com/produto/395853/refrigerante-guarana-fanta-garrafa-1,5l","https://www.paodeacucar.com/produto/395853/refrigerante-guarana-fanta-garrafa-1,5l","refrigerante guarana fanta garrafa 1,5l",
14.0,56.0,14.0,0.0,0.0,0.0,Néctar Pêssego e Maçã Qualitá Caixa 1l,0.0,0.0,0.0,https://www.paodeacucar.com/produto/1616127/nectar-pessego-e-maca-qualita-caixa-1l,https://www.paodeacucar.com/produto/1616127/nectar-pessego-e-maca-qualita-caixa-1l,nectar pessego e maca qualita caixa 1l,
0.0,92.0,23.0,0.0,0.0,0.0,Energético Monster Energy Juice Pacific Punch 473ml,0.0,0.0,32.0,https://www.paodeacucar.com/produto/709889/energetico-monster-energy-juice-pacific-punch-473ml,https://www.paodeacucar.com/produto/709889/energetico-monster-energy-juice-pacific-punch-473ml,energetico monster energy juice pacific punch 473ml,
22.0,90.0,22.0,0.0,0.0,0.0,Néctar Uva e Maçã Qualitá Caixa 1l,0.0,0.0,0.0,https://www.paodeacucar.com/produto/1616126/nectar-uva-e-maca-qualita-caixa-1l,https://www.paodeacucar.com/produto/1616126/nectar-uva-e-maca-qualita-caixa-1l,nectar uva e maca qualita caixa 1l,
23.0,92.0,23.0,0.0,0.0,0.0,Xarope Morango Monin Garrafa 330ml,0.0,0.0,0.0,https://www.paodeacucar.com/produto/1639317/xarope-morango-monin-garrafa-330ml,https://www.paodeacucar.com/produto/1639317/xarope-morango-monin-garrafa-330ml,xarope morango monin garrafa 330ml,
